city,name,salary_from,salary_to,employer
Москва,Учитель английского языка,100000.0,,ГБОУ Школа № 1374
Москва,Учитель английского языка,120000.0,,ГБОУ Школа № 950
Москва,Преподаватель английского языка,70000.0,,ФГАОУ ВО МГТУ им. Н.Э. Баумана
Москва,Учитель физической культуры,84500.0,95500.0,ГБОУ Города Москвы Школа № 1366
Москва,Учитель физической культуры,95000.0,,ГБОУ Школа № 814
Москва,Учитель-логопед,79900.0,79900.0,ГКОУ Города Москвы Специальная (Коррекционная) Школа № 571
Москва,Учитель английского языка,91000.0,110000.0,ГБОУ Школа №1375
Москва,Ассистент учителя школы,110000.0,,Школа Летово
Москва,Преподаватель Психологии,90000.0,150000.0,Центр качества образования
Москва,Учитель английского языка,100000.0,,Школа № 1195
Москва,Учитель физической культуры,130000.0,,ГК Небо
Москва,Преподаватель (Русский язык и литература),130000.0,130000.0,ГБПОУ МКАГ
Москва,Учитель английского языка,90000.0,,ГБОУ ШКОЛА № 1541
Москва,Учитель английского языка,120000.0,,АНОО Лицей Ласточкино гнездо
Москва,Учитель начальных классов,91100.0,,ГБОУ СОШ № 1208
Москва,Учитель английского языка,91100.0,,ГБОУ СОШ № 1208
Москва,Преподаватель психологических и педагогических дисциплин,100000.0,100000.0,Консалтинговая группа Финиум
Москва,Учитель английского языка,,110000.0,Московский авиационный институт (национальный исследовательский университет)
Москва,Учитель ИЗО,91100.0,91100.0,ГБОУ гимназия №1530 Школа Ломоносова
Москва,Преподаватель русского языка как иностранного,80000.0,,ФГБОУ ВО РГАИС
Москва,Учитель английского языка в Интернат Школы ЦПМ,100000.0,,ОАНО Школа ЦПМ
Москва,Учитель английского языка в дошкольную группу,83000.0,,ГБОУ ШКОЛА № 2025
Москва,Учитель физической культуры,100000.0,100000.0,АНОО Школа при Андреевском монастыре
Москва,Учитель изобразительного искусства,92000.0,,ГБОУ Школа № 324
Москва,Учитель физической культуры,70000.0,,Московский государственный лингвистический университет
Москва,Учитель начальных классов,91100.0,,ГБОУ Школа № 1362
Москва,Учитель английского языка,150000.0,,ГК Небо
Москва,Учитель английского языка в начальную школу,100000.0,,ОАНО МОШ Интеграция XXI век
Москва,Учитель английского языка,85000.0,,ГБОУ Школа №1505 Преображенская
Москва,Учитель физической культуры,95000.0,95000.0,Школа № 1195
Москва,Учитель английского языка,120000.0,,ОАНО Частная Школа Снегири
Москва,Учитель истории,100000.0,,ГБОУ Школа № 904
Москва,Учитель музыки,91100.0,,ГБОУ Школа № 1552
Москва,Учитель английского языка,100000.0,,"ГБОУ города Москвы Школа № 185 Имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой"
Москва,Учитель начальных классов,84500.0,95500.0,ГБОУ Города Москвы Школа № 1366
Москва,Преподаватель английского языка,250000.0,350000.0,Бирюкова Ирина Юрьевна
Москва,Учитель изобразительного искусства,91000.0,,ГБОУ Школа № 827
Москва,Учитель-дефектолог,115000.0,,ГБПОУ ОК Юго-Запад
Москва,Преподаватель экономических и юридических дисциплин,100000.0,100000.0,Консалтинговая группа Финиум
Москва,"Учитель физической культуры в частную школу ""Путь к успеху"" (г Троицк Новая Москва)",80000.0,100000.0,Частное общеобразовательное учреждение Школа Путь к успеху
Москва,"Преподаватель английского языка (Native English Teacher primary, high school)",250000.0,,Московская Экономическая Школа (МЭШ)
Москва,Учитель английского языка,110000.0,130000.0,АНОО Лицей Ковчег-XXI
Москва,Преподаватель французского языка в Simplefrançais,85000.0,140000.0,Центр Современного Преподавателя
Москва,Преподаватель по классу фортепиано,60000.0,,ГБОУДОД г. Москвы «Детская музыкальная школа имени П.Г. Чеснокова»
