city,name,salary_from,salary_to,employer
Нижний Новгород,Педагог дополнительного образования для дошкольников,70000,90000.0,Детский центр АЗБУКА ДЕТСТВА
Нижний Новгород,Педагог-организатор (библиотека),50000,50000.0,АНОО Школа 800
Нижний Новгород,Педагог дополнительного образования (раннее развитие),30000,,Кудряшова Дарья Константиновна
Нижний Новгород,Преподаватель Английского языка в Международную онлайн-школу,70000,,Международная онлайн школа Shkola
Нижний Новгород,Учитель ИЗО и технологии в онлайн-школу,50000,,Международная онлайн школа Shkola
Нижний Новгород,Учитель начальных классов,65000,,Частное учреждение средняя общеобразовательная школа им. С. В. Михалкова
Нижний Новгород,Педагог по подготовке к школе,40000,,Школа семейного образования Гармония
Нижний Новгород,Учитель математики,90000,,МБОУ Школа № 69
Нижний Новгород,Педагог дополнительного образования,45000,60000.0,Весницкая Виктория Юрьевна
Нижний Новгород,Педагог-воспитатель в группу продленного дня,40000,50000.0,Измайлов Александр Александрович
Нижний Новгород,Преподаватель английского языка,55000,70000.0,АНО ДО ШКОЛА АНГЛИЙСКОГО ЯЗЫКА ИНГЛИШ СКУЛ
Нижний Новгород,Учитель английского языка для детей,50000,,Изиинглиш
Нижний Новгород,Педагог дополнительного образования/педагог психолог,50000,80000.0,Школа скорочтения и развития интеллекта IQ 007 (ИП Хорошавина Надежда Юрьевна)
Нижний Новгород,Учитель английского языка,25000,,"МБОУ СОШ № 109, Нижний Новгород"
Нижний Новгород,Учитель английского языка,60000,80000.0,ЧУ ДО Центр изучения английского языка Спик инглиш
Нижний Новгород,Учитель физической культуры,23000,,"МБОУ СОШ № 109, Нижний Новгород"
Нижний Новгород,Учитель химии,50000,,МАОУ Лицей №28 имени академика Б.А.Королёва
Нижний Новгород,Учитель начальных классов,70000,85000.0,Классная школа
Нижний Новгород,Учитель английского языка,50000,115000.0,АНОО Школа 800
